time,lat,lon,alt,satellite_count,snr
2026-04-11 21:37:25.367053,23.21222447658373,89.51320631762647,49.047813862681316,0,39.35184800512888
2026-04-11 21:37:26.367053,23.903032207370707,89.11450757792976,36.375807677276526,3,5.7379477794632905
2026-04-11 21:37:27.367053,23.2132435695501,89.43849907179208,30.987343897090184,3,14.86532314011277
2026-04-11 21:37:28.367053,23.069836495191005,89.2955430842797,48.93796485487322,1,21.767346158150506
2026-04-11 21:37:29.367053,23.844404344530705,89.56503202826596,28.312056940563195,2,43.94627151246067
2026-04-11 21:37:30.367053,23.76736352503319,89.68111255278444,21.428987098280658,9,31.23040950638458
2026-04-11 21:37:31.367053,23.145904589271936,89.9194465415405,45.49099538007753,4,30.453432740231978
2026-04-11 21:37:32.367053,23.385849458244813,89.50767431167979,17.43249568315545,4,35.060581896302935
2026-04-11 21:37:33.367053,23.72521596757044,89.960522616922,27.184400544243964,11,38.98809433543997
2026-04-11 21:37:34.367053,23.16075567130803,89.5185985967688,21.813493307466352,10,10.106824136968893
2026-04-11 21:37:35.367053,23.398852118754597,89.89331515654146,48.69877367258375,9,27.949766981329347
2026-04-11 21:37:36.367053,23.101101044818336,89.62408425651786,39.08237876549568,7,20.643292240204623
2026-04-11 21:37:37.367053,23.07368933916014,89.10852022660967,19.89360699332152,9,33.07118045170007
2026-04-11 21:37:38.367053,23.387814152285024,89.08155678269215,28.096044442429285,10,31.911563429173285
2026-04-11 21:37:39.367053,23.766472016565743,89.32316571827974,27.669888809871424,11,40.78689288807351
2026-04-11 21:37:40.367053,23.574924191529252,89.43984070969954,19.441706994443066,7,15.670499912940873
2026-04-11 21:37:41.367053,23.865263062018506,89.77288635353968,23.355523861422537,3,28.864467619692036
2026-04-11 21:37:42.367053,23.410852545930055,89.91730799399227,17.303832755227724,4,11.63179686678773
2026-04-11 21:37:43.367053,23.169173772364513,89.68421043843709,43.37474085831066,3,9.094767216645149
2026-04-11 21:37:44.367053,23.71649411637319,89.19347479200334,37.312981863495466,6,36.687780116736434
2026-04-11 21:37:45.367053,23.41479474338081,89.8219095118907,30.657083603724583,3,41.207275673164325
2026-04-11 21:37:46.367053,23.563587430153895,89.21236502697893,46.90056854667773,8,38.81428857728618
2026-04-11 21:37:47.367053,23.934263694644798,89.47293939273814,45.38475361620521,10,36.887743276053115
2026-04-11 21:37:48.367053,23.717156476785792,89.63908506002406,37.89765496783144,8,21.17240134470186
2026-04-11 21:37:49.367053,23.680293837815906,89.7129270528196,45.19975633961187,6,16.079920945572717
2026-04-11 21:37:50.367053,23.685919341543634,89.15134955192617,17.342332536059605,2,34.73938538108296
2026-04-11 21:37:51.367053,23.80658020671324,89.0187976286101,42.41482273980992,7,24.36082282609253
2026-04-11 21:37:52.367053,23.149387246922096,89.60439856345296,33.962344534750464,9,14.266429316527486
2026-04-11 21:37:53.367053,23.964523812725865,89.09085501817039,15.622260642496006,7,27.876185754776163
2026-04-11 21:37:54.367053,23.459584958555624,89.58750135192979,45.353745296071935,7,13.82532821961306
2026-04-11 21:37:55.367053,23.853680031872898,89.60695638800765,21.74987455107523,6,16.564115993213644
2026-04-11 21:37:56.367053,23.98694538978468,89.7899567557051,41.263215785572214,2,30.367759138814993
2026-04-11 21:37:57.367053,23.202233312879137,89.8520083598644,20.413034578439394,10,36.00019060718299
2026-04-11 21:37:58.367053,23.805119670152024,89.9580933981275,39.98625714522514,6,30.943998078454953
2026-04-11 21:37:59.367053,23.569129448443288,89.98829622361248,30.16235584916904,5,18.175985184975254
2026-04-11 21:38:00.367053,23.25797220122634,89.85153678777317,38.381818579331295,8,18.68324786788986
2026-04-11 21:38:01.367053,23.5050007826626,89.13412656169653,38.73940713975142,2,28.780144415144065
